ts,endpoint,run,ok,tcp_connect_ms,tls_handshake_ms,tls_version,cipher,alpn,cert_cn,error
2026-06-03T13:01:13.236150+00:00,api.mistral.ai,0,True,1.848,6.222,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-03T13:01:13.746392+00:00,api.mistral.ai,1,True,1.843,6.151,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-03T13:01:14.278993+00:00,api.mistral.ai,2,True,1.942,6.12,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-03T13:01:14.742799+00:00,api.mistral.ai,3,True,1.381,6.948,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-03T13:01:15.272091+00:00,api.mistral.ai,4,True,1.381,6.456,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-03T13:01:15.790036+00:00,italynorth.tts.speech.microsoft.com,0,True,19.813,19.813,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-03T13:01:16.191819+00:00,italynorth.tts.speech.microsoft.com,1,True,18.052,18.052,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-03T13:01:16.766881+00:00,italynorth.tts.speech.microsoft.com,2,True,18.995,18.995,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-03T13:01:17.246990+00:00,italynorth.tts.speech.microsoft.com,3,True,18.862,18.862,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-03T13:01:17.802924+00:00,italynorth.tts.speech.microsoft.com,4,True,18.076,18.076,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-04T13:01:00.800207+00:00,api.deepgram.com,0,True,140.939,146.436,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-04T13:01:01.219723+00:00,api.deepgram.com,1,True,145.69,149.822,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-04T13:01:01.693187+00:00,api.deepgram.com,2,True,143.161,143.161,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-04T13:01:02.167040+00:00,api.deepgram.com,3,True,148.741,151.721,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-04T13:01:02.680606+00:00,api.deepgram.com,4,True,134.366,139.608,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-04T13:01:03.097301+00:00,api.rev.ai,0,True,147.587,302.098,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-04T13:01:03.517324+00:00,api.rev.ai,1,True,143.63,298.646,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-04T13:01:04.073493+00:00,api.rev.ai,2,True,154.905,301.799,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-04T13:01:04.640217+00:00,api.rev.ai,3,True,149.289,303.438,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-04T13:01:05.085346+00:00,api.rev.ai,4,True,149.18,289.424,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-04T13:01:05.681202+00:00,italynorth.stt.speech.microsoft.com,0,True,22.882,22.882,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-04T13:01:06.133000+00:00,italynorth.stt.speech.microsoft.com,1,True,22.493,22.493,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-04T13:01:06.538310+00:00,italynorth.stt.speech.microsoft.com,2,True,13.017,16.792,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-04T13:01:06.962915+00:00,italynorth.stt.speech.microsoft.com,3,True,11.969,15.34,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-04T13:01:07.471933+00:00,italynorth.stt.speech.microsoft.com,4,True,12.912,16.459,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-04T13:01:07.933693+00:00,api.openai.com,0,True,2.345,6.627,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-04T13:01:08.530981+00:00,api.openai.com,1,True,3.773,6.648,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-04T13:01:09.077936+00:00,api.openai.com,2,True,3.733,6.623,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-04T13:01:09.629209+00:00,api.openai.com,3,True,2.851,6.103,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-04T13:01:10.073707+00:00,api.openai.com,4,True,2.024,5.831,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-04T13:01:10.563303+00:00,api.groq.com,0,True,2.18,6.615,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-04T13:01:11.115150+00:00,api.groq.com,1,True,4.127,6.747,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-04T13:01:11.633073+00:00,api.groq.com,2,True,2.15,7.287,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-04T13:01:12.035698+00:00,api.groq.com,3,True,2.134,7.055,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
