ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.deepgram.com,139.051,139.019,139.099,0.026,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,api.openai.com,1.174,1.138,1.24,0.027,0,False
2026-05-06 06:00:01.634855+00:00,2026-05-06,6,italynorth.tts.speech.microsoft.com,9.995,9.987,10.003,0.006,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.deepgram.com,148.765,148.717,148.849,0.041,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.rev.ai,,,,,100,True
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,italynorth.stt.speech.microsoft.com,10.345,10.337,10.364,0.007,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.openai.com,1.096,1.063,1.221,0.043,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.groq.com,1.51,1.466,1.551,0.024,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.mistral.ai,0.831,0.781,0.963,0.047,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.deepgram.com,101.392,101.366,101.469,0.029,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,api.openai.com,1.3,1.276,1.327,0.015,0,False
2026-05-06 12:00:01.818399+00:00,2026-05-06,12,italynorth.tts.speech.microsoft.com,10.592,10.553,10.692,0.035,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.deepgram.com,139.422,139.051,142.12,0.907,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.rev.ai,,,,,100,True
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,italynorth.stt.speech.microsoft.com,10.344,10.315,10.443,0.033,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.openai.com,1.447,1.395,1.515,0.036,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.groq.com,1.534,1.485,1.668,0.059,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.mistral.ai,0.949,0.925,1.007,0.027,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.deepgram.com,101.432,101.381,101.492,0.033,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,api.openai.com,1.173,1.074,1.557,0.139,0,False
2026-05-06 18:00:02.295945+00:00,2026-05-06,18,italynorth.tts.speech.microsoft.com,10.579,10.555,10.62,0.018,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.deepgram.com,138.884,138.778,139.084,0.081,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.rev.ai,,,,,100,True
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,italynorth.stt.speech.microsoft.com,10.445,10.4,10.519,0.029,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.openai.com,1.11,1.06,1.25,0.065,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.groq.com,1.571,1.518,1.685,0.042,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.mistral.ai,0.808,0.76,0.863,0.029,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.deepgram.com,138.956,138.888,139.054,0.054,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,api.openai.com,1.419,1.381,1.473,0.025,0,False
2026-05-07 00:00:02.109234+00:00,2026-05-07,0,italynorth.tts.speech.microsoft.com,10.355,10.33,10.425,0.025,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.deepgram.com,149.18,149.116,149.394,0.076,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.rev.ai,,,,,100,True
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,italynorth.stt.speech.microsoft.com,10.951,10.896,11.116,0.056,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.openai.com,1.097,1.056,1.224,0.045,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.groq.com,1.004,0.928,1.36,0.122,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.mistral.ai,0.794,0.771,0.822,0.015,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.deepgram.com,139.05,138.998,139.13,0.034,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,api.openai.com,1.438,1.389,1.531,0.037,0,False
2026-05-07 05:30:01.090933+00:00,2026-05-07,5,italynorth.tts.speech.microsoft.com,10.752,10.691,10.843,0.053,0,False
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,api.deepgram.com,139.523,139.056,143.065,1.182,0,False
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,api.rev.ai,,,,,100,True
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,italynorth.stt.speech.microsoft.com,10.755,10.725,10.944,0.063,0,False
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,api.openai.com,1.086,1.063,1.143,0.026,0,False
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,api.groq.com,1.57,1.527,1.679,0.049,0,False
2026-05-07 06:00:02.252375+00:00,2026-05-07,6,api.mistral.ai,0.837,0.749,0.984,0.076,0,False
