ts,date,hour,endpoint,anycast_likely,ttl,primary_ip,ip_count
2026-06-01 12:01:04.447047+00:00,2026-06-01,12,api.rev.ai,False,60,100.22.108.35,3
2026-06-01 12:01:10.165395+00:00,2026-06-01,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-01 12:01:18.748227+00:00,2026-06-01,12,api.openai.com,False,28,172.66.0.243,2
2026-06-01 12:01:27.509007+00:00,2026-06-01,12,api.groq.com,False,233,104.18.38.236,2
2026-06-01 12:01:32.317888+00:00,2026-06-01,12,api.mistral.ai,False,299,172.66.2.203,2
2026-06-01 12:01:41.322937+00:00,2026-06-01,12,api.deepgram.com,True,5,38.104.135.212,3
2026-06-01 12:01:44.577701+00:00,2026-06-01,12,api.openai.com,False,5,162.159.140.245,2
2026-06-01 12:01:45.565655+00:00,2026-06-01,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-01 18:01:02.515213+00:00,2026-06-01,18,api.deepgram.com,True,10,38.104.135.212,2
2026-06-01 18:01:10.336714+00:00,2026-06-01,18,api.rev.ai,False,60,35.155.50.70,3
2026-06-01 18:01:18.210151+00:00,2026-06-01,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-01 18:01:19.504311+00:00,2026-06-01,18,api.openai.com,False,46,172.66.0.243,2
2026-06-01 18:01:27.620622+00:00,2026-06-01,18,api.groq.com,False,300,104.18.38.236,2
2026-06-01 18:01:30.760590+00:00,2026-06-01,18,api.mistral.ai,False,300,172.66.2.203,2
2026-06-01 18:01:32.767995+00:00,2026-06-01,18,api.deepgram.com,True,10,38.246.42.149,2
2026-06-01 18:01:34.977517+00:00,2026-06-01,18,api.openai.com,False,45,172.66.0.243,2
2026-06-01 18:01:40.304216+00:00,2026-06-01,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-02 00:01:03.634323+00:00,2026-06-02,0,api.deepgram.com,True,10,38.246.42.149,2
2026-06-02 00:01:08.803834+00:00,2026-06-02,0,api.rev.ai,False,60,44.255.232.246,3
2026-06-02 00:01:12.389778+00:00,2026-06-02,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-02 00:01:20.716547+00:00,2026-06-02,0,api.openai.com,False,5,162.159.140.245,2
2026-06-02 00:01:23.894532+00:00,2026-06-02,0,api.groq.com,False,200,172.64.149.20,2
2026-06-02 00:01:28.037310+00:00,2026-06-02,0,api.mistral.ai,False,300,172.66.2.203,2
2026-06-02 00:01:36.910585+00:00,2026-06-02,0,api.deepgram.com,True,10,66.103.225.59,3
2026-06-02 00:01:39.545576+00:00,2026-06-02,0,api.openai.com,False,42,162.159.140.245,2
2026-06-02 00:01:43.567111+00:00,2026-06-02,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-02 05:31:02.294407+00:00,2026-06-02,5,api.deepgram.com,True,10,208.184.56.200,2
2026-06-02 05:31:27.394905+00:00,2026-06-02,5,api.rev.ai,False,60,54.201.77.26,3
2026-06-02 05:31:39.304926+00:00,2026-06-02,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-02 05:31:48.304343+00:00,2026-06-02,5,api.openai.com,False,20,172.66.0.243,2
2026-06-02 05:32:13.947372+00:00,2026-06-02,5,api.groq.com,False,45,104.18.38.236,2
2026-06-02 05:32:35.295954+00:00,2026-06-02,5,api.mistral.ai,False,78,172.66.2.203,2
2026-06-02 05:32:50.228859+00:00,2026-06-02,5,api.deepgram.com,True,10,208.184.56.200,2
2026-06-02 05:33:18.848345+00:00,2026-06-02,5,api.openai.com,False,53,172.66.0.243,2
2026-06-02 05:33:31.315881+00:00,2026-06-02,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-02 06:01:02.176381+00:00,2026-06-02,6,api.deepgram.com,True,1,66.103.225.58,2
2026-06-02 06:01:09.050486+00:00,2026-06-02,6,api.rev.ai,False,60,44.255.232.246,3
2026-06-02 06:01:11.311199+00:00,2026-06-02,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-02 06:01:18.864689+00:00,2026-06-02,6,api.openai.com,False,42,172.66.0.243,2
2026-06-02 06:01:25.961355+00:00,2026-06-02,6,api.groq.com,False,300,104.18.38.236,2
2026-06-02 06:01:31.411225+00:00,2026-06-02,6,api.mistral.ai,False,300,172.66.2.203,2
2026-06-02 06:01:32.565056+00:00,2026-06-02,6,api.deepgram.com,True,10,38.104.135.212,3
2026-06-02 06:01:34.609165+00:00,2026-06-02,6,api.openai.com,False,15,172.66.0.243,2
2026-06-02 06:01:43.229354+00:00,2026-06-02,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-02 12:01:03.940544+00:00,2026-06-02,12,api.deepgram.com,True,10,66.103.225.59,3
2026-06-02 12:01:09.475920+00:00,2026-06-02,12,api.rev.ai,False,60,54.71.42.79,3
