ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-06-03 06:01:32.143070+00:00,2026-06-03,6,api.openai.com,1.14,1.075,1.256,0.05,0,False
2026-06-03 06:01:36.960797+00:00,2026-06-03,6,italynorth.tts.speech.microsoft.com,10.012,9.997,10.032,0.01,0,False
2026-06-03 12:01:02.868331+00:00,2026-06-03,12,api.deepgram.com,136.927,136.867,136.99,0.041,0,False
2026-06-03 12:01:10.155012+00:00,2026-06-03,12,api.rev.ai,,,,,100,True
2026-06-03 12:01:13.910382+00:00,2026-06-03,12,italynorth.stt.speech.microsoft.com,10.567,10.556,10.601,0.012,0,False
2026-06-03 12:01:18.236341+00:00,2026-06-03,12,api.openai.com,1.14,1.066,1.284,0.058,0,False
2026-06-03 12:01:22.042521+00:00,2026-06-03,12,api.groq.com,1.368,1.303,1.623,0.082,0,False
2026-06-03 12:01:28.382707+00:00,2026-06-03,12,api.mistral.ai,1.252,1.181,1.559,0.1,0,False
2026-06-03 12:01:36.317274+00:00,2026-06-03,12,api.deepgram.com,137.734,137.205,142.145,1.524,0,False
2026-06-03 12:01:43.325704+00:00,2026-06-03,12,api.openai.com,1.556,1.502,1.655,0.04,0,False
2026-06-03 12:01:49.995657+00:00,2026-06-03,12,italynorth.tts.speech.microsoft.com,10.27,10.257,10.29,0.01,0,False
2026-06-03 18:01:03.462354+00:00,2026-06-03,18,api.deepgram.com,99.028,98.992,99.094,0.04,0,False
2026-06-03 18:01:05.031321+00:00,2026-06-03,18,api.rev.ai,,,,,100,True
2026-06-03 18:01:13.055674+00:00,2026-06-03,18,italynorth.stt.speech.microsoft.com,10.506,10.489,10.56,0.018,0,False
2026-06-03 18:01:19.642939+00:00,2026-06-03,18,api.openai.com,1.359,1.271,1.591,0.088,0,False
2026-06-03 18:01:21.812985+00:00,2026-06-03,18,api.groq.com,1.472,1.442,1.523,0.026,0,False
2026-06-03 18:01:25.680235+00:00,2026-06-03,18,api.mistral.ai,0.82,0.777,0.879,0.03,0,False
2026-06-03 18:01:33.862264+00:00,2026-06-03,18,api.deepgram.com,146.845,144.216,168.72,7.365,0,False
2026-06-03 18:01:40.399336+00:00,2026-06-03,18,api.openai.com,1.408,1.363,1.458,0.03,0,False
2026-06-03 18:01:44.460979+00:00,2026-06-03,18,italynorth.tts.speech.microsoft.com,10.164,10.124,10.262,0.036,0,False
2026-06-04 00:01:02.993484+00:00,2026-06-04,0,api.deepgram.com,98.564,98.538,98.687,0.041,0,False
2026-06-04 00:01:08.689135+00:00,2026-06-04,0,api.rev.ai,,,,,100,True
2026-06-04 00:01:15.356702+00:00,2026-06-04,0,italynorth.stt.speech.microsoft.com,10.235,10.199,10.305,0.035,0,False
2026-06-04 00:01:22.879867+00:00,2026-06-04,0,api.openai.com,1.375,1.301,1.619,0.084,0,False
2026-06-04 00:01:26.023485+00:00,2026-06-04,0,api.groq.com,0.99,0.95,1.074,0.034,0,False
2026-06-04 00:01:27.270696+00:00,2026-06-04,0,api.mistral.ai,1.291,1.218,1.445,0.07,0,False
2026-06-04 00:01:30.478446+00:00,2026-06-04,0,api.deepgram.com,146.57,146.504,146.68,0.059,0,False
2026-06-04 00:01:36.571356+00:00,2026-06-04,0,api.openai.com,1.106,1.057,1.238,0.059,0,False
2026-06-04 00:01:43.497916+00:00,2026-06-04,0,italynorth.tts.speech.microsoft.com,10.672,10.648,10.74,0.027,0,False
2026-06-04 05:31:03.872563+00:00,2026-06-04,5,api.deepgram.com,135.652,135.264,137.624,0.725,0,False
